days,date,streamflow,precip,temp_min,temp_max,humidity_spec,radiation_sw
1,2017-01-01,0.2456394,0.07,-4.625,1.004,0.00359153747558594,4.375
2,2017-01-02,0.2489529,0,-10.007,-3.975,0.00226497650146484,7.375
3,2017-01-03,0.2434308,0,-10.171,-0.054,0.0022735595703125,11.0625
4,2017-01-04,0.2401962,0.83,-12.781,-2.483,0.00288963317871094,5.9375
5,2017-01-05,0.2386971,0,-20.008,-11.867,0.00109577178955078,12.75
6,2017-01-06,0.2165605,0,-16.231,-1.981,0.00116348266601563,12.5
7,2017-01-07,0.208145,0.01,-8.841,1.56,0.00309658050537109,3.5
8,2017-01-08,0.1994707,0,-11.713,2.597,0.00241374969482422,6.8125
9,2017-01-09,0.2090949,0,-2.17,3.877,0.00422859191894531,6.5625
10,2017-01-10,0.2019695,0.01,-2.233,1.53,0.00407981872558594,3.375
11,2017-01-11,0.2038697,0.41,-2.64,0.325,0.00345230102539062,1.6875
12,2017-01-12,0.2043448,5.27,-5.71,-1.593,0.00312232971191406,0.875
13,2017-01-13,0.2000695,0,-15.913,-2.706,0.00234222412109375,8.1875
14,2017-01-14,0.1962693,0,-12.127,-2.815,0.00237941741943359,14.25
15,2017-01-15,0.1972192,0,-17.536,-8.799,0.00181198120117188,11.6875
16,2017-01-16,0.1967444,0,-19.699,-10.256,0.00107955932617188,17.3125
17,2017-01-17,0.1902387,1.16,-11.932,3.075,0.00156307220458984,18.8125
18,2017-01-18,0.1822672,0,-0.723,5.157,0.00473117828369141,4
19,2017-01-19,0.1756847,0,1.359,5.413,0.00460052490234375,14.5
20,2017-01-20,0.1730518,0,2.99,5.554,0.00474739074707031,6.5625
21,2017-01-21,0.1704879,0,-3.251,4.871,0.00450706481933594,13.125
22,2017-01-22,0.1610872,0,-6.117,0.974,0.00333595275878906,14.3125
23,2017-01-23,0.1574492,0,-5.603,1.223,0.00342178344726562,16.9375
24,2017-01-24,0.1530028,0,-8.55,-0.097,0.00333213806152344,17.75
25,2017-01-25,0.1499013,0,-2.662,5.422,0.00335979461669922,14.1875
26,2017-01-26,0.1530028,0,-4.627,4.97,0.00490093231201172,13.8125
27,2017-01-27,0.1468659,0,-9.712,-0.491,0.00281047821044922,27.25
28,2017-01-28,0.1435255,0,-12.488,-5.604,0.0017242431640625,26.625
29,2017-01-29,0.1387004,0.09,-6.919,-3.091,0.00206089019775391,6.125
30,2017-01-30,0.1394428,2.32,-13.058,-2.95,0.00232315063476562,4.625
31,2017-01-31,0.1409274,0,-15.876,-6.434,0.00153446197509766,28.5
32,2017-02-01,0.1335673,0,-17.925,-7.101,0.00113105773925781,26
33,2017-02-02,0.1290256,0.11,-11.728,-3.229,0.00151634216308594,11.625
